PRIMARY_NAICS_CODE,PRIMARY_NAICS_TITLE,GWht_TOTAL,Indirect Uses-Boiler Fuel,Conventional Boiler Use,CHP and/or Cogeneration Process,Direct Uses-Total Process,Process Heating,Process Cooling and Refrigeration,Machine Drive,Electro-Chemical Processes,Other Process Use,Direct Uses-Total Nonprocess,Facility HVAC (g),Facility Lighting,Other Facility Support,Onsite Transportation,Conventional Electricity Generation,Other Nonprocess Use
327213,Glass Container Manufacturing,12592.82253,0,0,0,12029.25166,12029.25166,0,0,0,0,546.7841662,546.7841662,0,0,0,0,0
327215,Glass Product Manufacturing Made of Purchased Glass,730.7023065,0,0,0,547.1505833,547.1505833,0,0,0,0,182.3835278,182.3835278,0,0,0,0,0
327310,Cement Manufacturing,7992.627228,0,0,0,6348.394136,6348.394136,0,0,0,0,46.4887972,0,0,0,46.4887972,0,0
327390,Other Concrete Product Manufacturing,330.9881958,12.44316526,3.732949577,8.71021568,297.3916497,292.4143835,1.244316526,2.488633051,0,1.244316526,21.15338094,19.90906441,0,1.244316526,0,0,0
327410,Lime Manufacturing,30932.60876,0,0,0,24989.84567,24942.71621,0,47.1294645,0,0,11.78236612,0,0,0,11.78236612,0,0
327420,Gypsum Product Manufacturing,13108.53267,0,0,0,12418.45936,12073.50216,0,344.9572045,0,0,689.9144091,689.9144091,0,0,0,0,0
327910,Abrasive Product Manufacturing,308.2892617,11.58982187,3.47694656,8.112875308,276.9967426,272.3608139,1.158982187,2.317964374,0,1.158982187,19.70269718,18.54371499,0,1.158982187,0,0,0
327992,Ground or Treated Mineral and Earth Manufacturing,4291.957724,120.1451677,36.04355031,84.10161739,3927.576283,3875.258271,12.01451677,28.2889782,0,12.01451677,209.6380737,192.2322683,0,12.01451677,5.391288589,0,0
327993,Mineral Wool Manufacturing,4594.898641,178.4804684,0,178.4804684,3748.089837,3748.089837,0,0,0,0,356.9609368,356.9609368,0,0,0,0,0
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,636.2867198,12.97312024,3.891936072,9.081184168,601.0765643,595.684282,1.297312024,2.797658264,0,1.297312024,22.2370352,20.75699238,0,1.297312024,0.182730794,0,0
331111,Iron and Steel Mills,133667.2167,57083.35042,5215.4812,51867.86922,72095.96619,67062.4073,529.3909489,1588.172847,0,2915.99509,4247.886174,3441.041168,0,529.3909489,12.62056722,0,264.83349
331112,Electrometallurgical Ferroalloy Product Manufacturing,613.2290661,0,0,0,613.2274811,613.2274811,0,0,0,0,0,0,0,0,0,0,0
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,2503.240182,294.498845,147.2494225,147.2494225,1766.99307,1766.99307,0,0,0,0,441.7482675,441.7482675,0,0,0,0,0
331221,Rolled Steel Shape Manufacturing,4781.107203,562.4828713,281.2414356,281.2414356,3374.897228,3374.897228,0,0,0,0,843.7243069,843.7243069,0,0,0,0,0
331311,Alumina Refining,7413.129466,998.2917789,221.8426175,776.4491613,5989.750673,5605.792297,0,383.9583765,0,0,425.0870138,307.1667012,0,76.7916753,41.1286373,0,0
331312,Primary Aluminum Production,21148.34934,538.8920412,119.7537869,419.1382543,3233.352247,3026.086078,0,207.2661697,0,0,207.2661697,165.8129358,0,41.45323394,0,0,0
331314,Secondary Smelting and Alloying of Aluminum,5252.603966,374.3751942,0,374.3751942,4866.877524,4866.877524,0,0,0,0,0,0,0,0,0,0,0
331315," Aluminum Sheet, Plate, and Foil Manufacturing",6186.129155,154.2629005,154.2629005,0,5707.727318,5707.727318,0,0,0,0,308.525801,308.525801,0,0,0,0,0
331316,Aluminum Extruded Product Manufacturing,1198.536146,0,0,0,0,0,0,0,0,0,1196.132642,1196.132642,0,0,0,0,0
331319,Other Aluminum Rolling and Drawing,216.8681735,29.1737081,6.483046244,22.69066185,175.0422486,163.8215916,0,11.22065696,0,0,11.22065696,8.976525569,0,2.244131392,0,0,0
331411,Primary Smelting and Refining of Copper,1045.377148,191.696396,85.19839822,106.4979978,766.785584,702.8867853,0,0,0,63.89879867,85.19839822,85.19839822,0,0,0,0,0
331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),4373.826363,362.7524901,0,362.7524901,3990.277391,2902.019921,0,0,0,1088.25747,0,0,0,0,0,0,0
331421,"Copper Rolling, Drawing, and Extruding",333.9387922,61.33569652,27.26030956,34.07538696,245.3427861,224.8975539,0,0,0,20.44523217,27.26030956,27.26030956,0,0,0,0,0
331423,"Secondary Smelting, Refining, and Alloying of Copper",292.062639,53.64415818,23.84184808,29.8023101,214.5766327,196.6952466,0,0,0,17.88138606,23.84184808,23.84184808,0,0,0,0,0
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",1120.790253,205.8594342,91.49308185,114.3663523,823.4377367,754.8179253,0,0,0,68.61981139,91.49308185,91.49308185,0,0,0,0,0
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",1885.177234,309.7130874,135.7393792,173.9737083,1376.582729,1274.778194,0,0,0,101.8045344,135.7393792,135.7393792,0,0,0,0,0
331511,Iron Foundries,6799.127785,0,0,0,2121.443658,1885.727696,0,0,0,235.715962,942.8638478,942.8638478,0,0,0,0,0
331513,Steel Foundries (except Investment),378.9981886,16.81863222,8.40931611,8.40931611,277.5074316,269.0981155,0,0,0,8.40931611,84.0931611,75.68384499,0,8.40931611,0,0,0
331521,Aluminum Die-Casting Foundries,630.2820604,0,0,0,504.2256483,504.2256483,0,0,0,0,126.0564121,126.0564121,0,0,0,0,0
331522,Nonferrous (except Aluminum) Die-Casting Foundries,6.168524836,0.274156659,0.13707833,0.13707833,4.52358488,4.38650655,0,0,0,0.13707833,1.370783297,1.233704967,0,0.13707833,0,0,0
331524,Aluminum Foundries (except Die-Casting),503.0004494,0,0,0,431.1432423,431.1432423,0,0,0,0,71.85720705,71.85720705,0,0,0,0,0
331528,Other Nonferrous Foundries (except Die-Casting),161.0729545,7.13911993,3.569559965,3.569559965,117.7954788,114.2259189,0,0,0,3.569559965,35.73839534,32.12603968,0,3.569559965,0.042795688,0,0
332111,Iron and Steel Forging,1456.995293,209.5678161,109.773618,99.79419814,938.0654625,918.1066229,0,9.979419814,0,9.979419814,309.3620142,289.4031746,0,19.95883963,0,0,0
332112,Nonferrous Forging,1250.388755,179.8503032,94.20730168,85.64300152,805.0444008,787.9158005,0,8.564300152,0,8.564300152,265.4940506,248.3648909,0,17.1286003,0.000559385,0,0
332211,Cutlery and Flatware (except Precious) Manufacturing,305.6333894,43.94757297,23.02015727,20.9274157,196.7177076,192.5322244,0,2.09274157,0,2.09274157,64.96810891,60.73606565,0,4.18548314,0.046560123,0,0
332510,Hardware Manufacturing,115.0577909,16.54940828,8.66873767,7.880670609,74.07830373,72.5021696,0,0.788067061,0,0.788067061,24.43007889,22.85394477,0,1.576134122,0,0,0
332811,Metal Heat Treating,179.9582061,25.8843995,13.55849498,12.32590453,115.8635025,113.3983216,0,1.232590453,0,1.232590453,38.21030403,35.74512313,0,2.465180905,0,0,0
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",794.1158265,114.2221394,59.83064446,54.39149496,511.2800527,500.4017537,0,5.439149496,0,5.439149496,168.6136344,157.7353354,0,10.87829899,0,0,0
